#path\tlines\tbytes
vendor/nova-snark-patched/src/frontend/gadgets/num.rs	     552	   14117
vendor/nova-snark-patched/src/frontend/gadgets/boolean.rs	     742	   20173
vendor/nova-snark-patched/src/frontend/gadgets/uint32.rs	     321	    8030
vendor/nova-snark-patched/src/frontend/util_cs/test_cs.rs	     222	    5532
vendor/nova-snark-patched/src/frontend/util_cs/witness_cs.rs	     175	    4798
vendor/nova-snark-patched/src/frontend/util_cs/mod.rs	       4	     126
vendor/nova-snark-patched/src/frontend/mod.rs	      86	    2407
vendor/nova-snark-patched/src/frontend/lc.rs	     388	   10531
vendor/nova-snark-patched/src/frontend/shape_cs.rs	     108	    2625
vendor/nova-snark-patched/src/frontend/solver.rs	       8	     311
vendor/nova-snark-patched/src/frontend/test_shape_cs.rs	     321	    8244
vendor/nova-snark-patched/src/frontend/constraint_system.rs	     427	   14720
vendor/nova-snark-patched/src/frontend/r1cs.rs	     140	    4074
vendor/nova-snark-patched/src/r1cs/sparse.rs	     263	    6962
vendor/nova-snark-patched/src/r1cs/mod.rs	    1145	   33645
vendor/nova-snark-patched/ZKF_PATCH.md	       8	     326
vendor/nova-snark-patched/SECURITY.md	      41	    2784
vendor/nova-snark-patched/Cargo.toml.orig	      98	    2469
vendor/nova-snark-patched/benches/compressed-snark.rs	     161	    5408
vendor/nova-snark-patched/benches/ppsnark.rs	      91	    2868
vendor/nova-snark-patched/benches/sha256.rs	     169	    4930
vendor/nova-snark-patched/benches/recursive-snark.rs	     107	    3593
vendor/nova-snark-patched/benches/sumcheckeq.rs	     152	    4194
vendor/nova-snark-patched/benches/commit.rs	     250	    6494
vendor/nova-snark-patched/examples/minroot.rs	     276	    8997
vendor/nova-snark-patched/examples/ppot_prune.rs	     608	   18450
vendor/nova-snark-patched/examples/and.rs	     314	    9468
vendor/nova-snark-patched/examples/ptau_test_setup.rs	     101	    2665
vendor/nova-snark-patched/examples/hashchain.rs	     207	    6577
vendor/nova-snark-patched/SUPPORT.md	      10	     373
vendor/nova-snark-patched/README.md	     176	   12810
vendor/nova-snark-patched/LICENSE	      21	    1141
vendor/nova-snark-patched/rustfmt.toml	       3	      79
vendor/nova-snark-patched/Cargo.toml	     234	    4059
vendor/nova-snark-patched/CODE_OF_CONDUCT.md	       9	     444
vendor/p3-merkle-tree-gpu/src/merkle_tree.rs	     503	   19288
vendor/p3-merkle-tree-gpu/src/mmcs.rs	     718	   26952
vendor/p3-merkle-tree-gpu/src/lib.rs	      11	     143
vendor/p3-merkle-tree-gpu/src/hiding_mmcs.rs	     207	    7313
vendor/p3-merkle-tree-gpu/ZKF_PATCH.md	       8	     297
vendor/p3-merkle-tree-gpu/README.md	      31	    1112
vendor/p3-merkle-tree-gpu/Cargo.toml	      30	     981
CLAUDE.md	    1481	   66444
vendor/ark-relations-patched/src/lib.rs	      18	     408
vendor/ark-relations-patched/README.md	      31	    1301
vendor/ark-relations-patched/LICENSE-APACHE	     201	   10847
vendor/ark-relations-patched/Cargo.toml	      77	    1711
vendor/ark-relations-patched/src/r1cs/impl_lc.rs	     513	   13552
vendor/ark-relations-patched/src/r1cs/mod.rs	     148	    4442
vendor/ark-relations-patched/src/r1cs/trace.rs	     332	   10569
vendor/ark-relations-patched/src/r1cs/error.rs	      47	    2060
vendor/ark-relations-patched/src/r1cs/constraint_system.rs	    1623	   59882
vendor/ark-relations-patched/ZKF_PATCH.md	      16	     709
vendor/ark-relations-patched/LICENSE-MIT	      19	    1046
vendor/ark-relations-patched/Cargo.toml.orig	      26	     839
RELEASE_CHECKLIST.md	      30	    1646
THIRD_PARTY_NOTICES.md	      12	     377
zkf-ir-spec/src/canonical.rs	      71	    2288
zkf-ir-spec/src/schema.rs	     261	    7526
zkf-ir-spec/src/lib.rs	      69	    2116
zkf-ir-spec/src/verification.rs	    2652	  175088
zkf-ir-spec/src/version.rs	      45	    1229
zkf-ir-spec/src/semantics.rs	     353	   16975
zkf-ir-spec/src/formal.rs	     939	   34438
release/public_bundle/README.md	       1	     128
release/theorem_coverage_status.json	     221	    9191
zkf-api/src/handlers.rs	    1666	   61280
zkf-ir-spec/examples/export_verification_ledger.rs	       7	     202
zkf-ir-spec/examples/dump_verification_ledger.rs	       7	     175
zkf-ir-spec/runtime-proof-coverage-manifest.json	     777	   28888
zkf-ir-spec/README.md	      11	     415
release/provenance/public_mirror_provenance.json	      47	    1361
release/private_bundle/README.md	       1	     170
zkf-ir-spec/protocol-parameters/fri_surface.json	      41	     936
zkf-ir-spec/protocol-parameters/groth16_surface.json	      71	    1984
zkf-ir-spec/protocol-parameters/nova_surface.json	      49	    1092
zkf-ir-spec/lean-toolchain	       1	      25
zkf-core/src/capability.rs	     613	   27766
zkf-core/src/setup.rs	     244	    8237
zkf-core/src/debugger.rs	    1638	   58047
zkf-core/src/platform.rs	     671	   21327
zkf-core/src/tooling.rs	      12	     342
zkf-core/src/optimizer.rs	     509	   16989
zkf-core/src/proof_kernel.rs	     330	   11086
zkf-core/src/resources.rs	    1014	   35501
zkf-core/src/swarm_signer.rs	     229	    8275
zkf-core/src/ccs.rs	     915	   29725
zkf-core/src/type_check.rs	     398	   13604
zkf-core/src/proof_witness_generation_spec.rs	     908	   30243
zkf-core/src/recursion.rs	     256	    8996
zkf-core/src/wrapping.rs	     239	    8237
zkf-core/src/privacy.rs	     283	   10300
zkf-core/src/secure_random.rs	     124	    3932
zkf-core/src/proof_constant_time_bridge.rs	     338	   12038
zkf-core/src/credential.rs	     462	   15819
zkf-core/src/stack_safe_json.rs	     126	    4429
zkf-core/src/keystore.rs	     460	   15166
zkf-core/src/proof_witness_adapter_spec.rs	      41	    1488
tools 2/zkf-metal-public-proof/script/src/main.rs	     691	   26596
zkf-ir-spec/tests/protocol_parameter_snapshots.rs	     244	    8283
release/sbom/open_core_workspace_sbom.json	      38	    1157
zkf-core/src/lowering/hir_to_zir.rs	     281	   11533
zkf-core/src/lowering/mod.rs	     802	   28667
zkf-core/src/proof_transform_spec.rs	    2624	   92997
zkf-build.sh	      59	    1170
system-health-alert-2026-04-04-0706.txt	      11	     967
support-matrix.json	     357	   15125
CHANGELOG.md	      27	    1550
ZirOS_Dissertation.md	     531	   70260
Cargo.lock	   12865	  306883
zkf-lib/src/lib.rs	     466	   22905
zkf-tui/src/lib.rs	     308	    9637
zkf-tui/Cargo.toml	       9	     214
ziros-twitter-mcp/src/server.ts	     258	   12939
ziros-twitter-mcp/src/index.ts	      70	    2125
ziros-twitter-mcp/src/prompts/index.ts	      71	    2018
vendor/halo2-proofs-patched/src/poly/multiopen/prover.rs	     159	    4867
vendor/halo2-proofs-patched/src/poly/multiopen/verifier.rs	     149	    5361
zkf-core/src/fiat_generated/pasta_fq_64.rs	    2268	   92001
zkf-core/src/fiat_generated/bn254_scalar_64.rs	    2428	  102747
zkf-core/src/fiat_generated/pasta_fp_64.rs	    2268	   92001
zkf-core/src/fiat_generated/mod.rs	       8	     256
zkf-core/src/fiat_generated/bls12_381_scalar_64.rs	    2428	  106229
zkf-distributed/src/swarm_identity_core.rs	      74	    1981
zkf-distributed/src/swarm_epoch_core.rs	      77	    2356
zkf-distributed/src/proof_swarm_reputation_spec.rs	     380	   10940
zkf-lib/src/app/inputs.rs	     106	    3184
zkf-lib/src/app/orbital.rs	    1557	   55161
zkf-lib/src/app/builder.rs	    2383	   78818
zkf-lib/src/app/reentry_ops.rs	    1216	   48857
zkf-lib/src/app/api.rs	    1105	   39461
zkf-lib/src/app/templates.rs	     669	   25898
zkf-lib/src/app/descent.rs	    3194	  107679
zkf-lib/src/app/science.rs	     229	    6932
zkf-lib/src/app/sovereign_economic_defense.rs	    4552	  172257
zkf-lib/src/app/combustion.rs	     376	   12811
zkf-lib/src/app/sovereign_economic_defense2.rs	    4222	  162924
zkf-lib/src/app/real_gas.rs	     441	   15312
zkf-lib/src/app/progress.rs	      73	    2019
zkf-lib/src/app/verifier.rs	      78	    3013
zkf-lib/src/app/thermochemical.rs	     323	   12616
zkf-lib/src/app/mod.rs	      32	     705
zkf-lib/src/app/evidence.rs	    2031	   76627
zkf-lib/src/app/aerospace_qualification.rs	    2303	   81788
zkf-lib/src/app/edl_monte_carlo.rs	    2748	   94897
zkf-lib/src/app/private_identity.rs	    1813	   67421
zkf-lib/src/app/subsystem_support.rs	     168	    4947
zkf-lib/src/app/audit.rs	      68	    2316
zkf-lib/src/app/navier_stokes.rs	     737	   26779
zkf-lib/src/app/multi_satellite.rs	    2789	   99974
zkf-lib/src/app/aerospace.rs	    1982	   68438
zkf-lib/src/app/satellite.rs	    2613	   93400
zkf-lib/src/app/reentry.rs	   11241	  388951
zkf-lib/src/app/subsystem.rs	      49	    1622
zkf-lib/src/app/mission_ops.rs	     313	   10702
zkf-lib/src/app/spec.rs	    1280	   47231
zkf-lib/src/app/falcon_heavy_certification.rs	    3904	  147456
zkf-lib/src/proof_embedded_app_spec.rs	     123	    4139
zkf-lib/src/verification_kani.rs	     250	    7538
ziros-twitter-mcp/src/utils/text.ts	      30	     728
ziros-twitter-mcp/src/utils/oauth.ts	      64	    2206
zkf-distributed/src/partition/cost_model.rs	      90	    3026
zkf-distributed/src/partition/mod.rs	     442	   15273
zkf-distributed/src/partition/strategy.rs	      29	    1024
zkf-distributed/src/swarm_coordinator_core.rs	      50	    1469
zkf-distributed/src/swarm_protocol_core.rs	     155	    7454
zkf-distributed/src/identity.rs	     310	   10694
zkf-distributed/src/swarm_reputation_core.rs	     153	    4902
zkf-distributed/src/coordinator.rs	    2294	   91025
zkf-distributed/src/swarm_consensus_core.rs	      30	     754
zkf-distributed/src/worker.rs	    1243	   47651
zkf-ir-spec/proofs/rocq/Normalization.v	       9	     150
zkf-storage/src/lib.rs	     252	    8281
zkf-core/src/solver/acvm_beta9_adapter.rs	     706	   24071
zkf-storage/Cargo.toml	      14	     313
zkf-core/src/field.rs	    1534	   51550
zkf-core/src/hir.rs	      99	    2260
zkf-core/src/lib.rs	     182	    6257
zkf-core/src/dsl_types.rs	     111	    3325
zkf-core/src/aggregation.rs	      64	    2493
zkf-core/src/artifact_v2.rs	     178	    5698
zkf-core/src/audit.rs	    2175	   87935
zkf-core/src/benchmark.rs	     459	   15623
zkf-core/src/error.rs	     128	    3545
zkf-core/src/solver.rs	     915	   34118
zkf-core/src/artifact.rs	     758	   26392
zkf-core/src/normalize.rs	     708	   24408
zkf-core/src/acceleration.rs	     879	   29568
zkf-core/src/proof_kernel_spec.rs	     704	   25394
zkf-core/src/disclosure.rs	     830	   29222
zkf-core/src/zir.rs	     246	    7720
zkf-core/src/witness.rs	    3821	  132377
zkf-core/src/optimizer_zir.rs	     570	   19787
zkf-core/src/diagnostics.rs	     277	    9740
zkf-core/src/verification_kani.rs	     447	   14409
zkf-core/src/proof_ccs_spec.rs	     465	   14776
zkf-core/src/ir.rs	     241	    7820
zkf-core/README.md	      13	     556
vendor/halo2-proofs-patched/src/poly/commitment/msm.rs	     220	    7029
