    1452	70357	zkf-wallet-mailbox/contracts/compiled/ziros_wallet_mailbox/zkir/post_mailbox_envelope.zkir
    1451	40967	vendor/nova-snark-patched/src/provider/mercury.rs
    1402	45539	zkf-distributed/src/bundle.rs
    1389	45604	vendor/nova-snark-patched/src/gadgets/ecc.rs
    1356	51617	zkf-cli/src/cmd/sovereign_economic_defense2.rs
    1345	38494	zkf-metal/proofs/manifests/poseidon2.json
    1342	51891	zkf-cli/src/cmd/midnight/doctor.rs
    1308	275934	zkf-metal/proofs/lean/Generated/GpuPrograms.lean
    1302	46686	zkf-cli/src/cmd/capabilities.rs
    1282	44395	zkf-backends/src/lib_non_hax.rs
    1280	47231	zkf-lib/src/app/spec.rs
    1276	45712	zkf-runtime/src/swarm/builder.rs
    1243	47651	zkf-distributed/src/worker.rs
    1237	42981	zkf-frontends/tests/noir_import_tests.rs
    1234	36399	zkf-metal/proofs/manifests/poly.json
    1230	44768	zkf-backends/src/proof_plonky3_spec.rs
    1216	48857	zkf-lib/src/app/reentry_ops.rs
    1215	41490	zkf-backends/src/halo2.rs
    1213	42304	zkf-runtime/src/swarm/sentinel.rs
    1189	41809	zkf-cli/src/cmd/midnight/shared.rs
    1187	41453	zkf-frontends/src/external/compact_zkir.rs
    1178	57026	zkf-backends/proofs/rocq/extraction/Zkf_backends_Proof_plonky3_surface.v
    1175	39547	zkf-backends/src/plonky3.rs
    1173	50551	zkf-backends/src/wrapping/fri_verifier_circuit.rs
    1173	41424	ziros-twitter-mcp/package-lock.json
    1166	48780	forensics/generated/all_files.tsv
    1161	44468	zkf-runtime/src/security.rs
    1156	64506	forensics/generated/file_inventory.tsv
    1145	33645	vendor/nova-snark-patched/src/r1cs/mod.rs
    1144	40710	zkf-core/proofs/rocq/extraction/Zkf_core_Proof_witness_generation_spec.v
    1141	41722	vendor/halo2-proofs-patched/src/dev.rs
    1138	38634	zkf-cli/src/cmd/midnight.rs
    1137	37928	zkf-runtime/src/adapters.rs
    1130	40686	zkf-cli/src/benchmark.rs
    1107	37174	zkf-cli/src/cmd/midnight/resolve.rs
    1105	39461	zkf-lib/src/app/api.rs
    1096	40651	zkf-backends/src/blackbox_native.rs
    1084	50334	zkf-lib/examples/private_nbody_orbital_showcase.rs
    1083	37429	zkf-wallet-helper/src/providers.ts
    1071	41584	zkf-runtime/src/telemetry_collector.rs
    1067	40439	zkf-backends/src/wrapping/fri_query_step.rs
    1061	38145	zkf-backends/src/risc_zero_native.rs
    1039	32513	vendor/nova-snark-patched/src/gadgets/nonnative/bignat.rs
    1029	43290	zkf-backends/proofs/coq/extraction/Zkf_backends_Proof_plonky3_surface.v
    1019	32305	zkf-ffi/src/wallet_ffi.rs
    1016	34838	zkf-core/proofs/rocq/templates/WitnessGenerationRuntime.v
    1014	35501	zkf-core/src/resources.rs
    1009	35218	zkf-distributed/src/swarm/memory.rs
    1006	34901	zkf-runtime/src/swarm/queen.rs
     993	36995	zkf-gadgets/src/secp256k1.rs
     986	33903	vendor/halo2-proofs-patched/tests/plonk_api.rs
     980	31108	vendor/nova-snark-patched/src/provider/msm.rs
     972	34027	zkf-distributed/src/swarm/identity.rs
     971	49407	zkf-wallet-app/ZirOSWallet.xcodeproj/project.pbxproj
     968	32597	zkf-backends/src/proof_plonky3_surface.rs
     963	31442	zkf-backends/tests/arkworks_roundtrip.rs
     950	38476	zkf-lib/examples/private_satellite_conjunction_showcase.rs
     943	35419	zkf-core/tests/verification_prop.rs
     939	34438	zkf-ir-spec/src/formal.rs
     915	35620	zkf-backends/src/wrapping/nova_universal_aggregator.rs
     915	34118	zkf-core/src/solver.rs
     915	31430	zkf-metal/src/launch_contracts.rs
     915	29725	zkf-core/src/ccs.rs
     912	28513	vendor/nova-snark-patched/src/spartan/sumcheck.rs
     911	32202	zkf-lib/examples/plonky3_manual_soak.rs
     908	30243	zkf-core/src/proof_witness_generation_spec.rs
     907	37039	zkf-core/proofs/fstar/extraction/Zkf_core.Proof_kernel_spec.Bundle.fst
     880	30787	zkf-distributed/src/swarm/epoch.rs
     879	29568	zkf-core/src/acceleration.rs
     830	29222	zkf-core/src/disclosure.rs
     824	29133	zkf-backends/src/sp1_native.rs
     821	31535	docs/CLI.md
     817	30830	zkf-cli/src/cmd/package/prove.rs
     816	57095	README.md
     813	28158	zkf-runtime/src/buffer_bridge.rs
     810	31171	zkf-backends/src/wrapping/fri_gadgets.rs
     805	32948	zkf-backends/src/wrapping/halo2_ipa_accumulator.rs
     803	27594	zkf-runtime/src/hybrid.rs
     802	28667	zkf-core/src/lowering/mod.rs
     800	25915	zkf-metal/src/merkle.rs
     798	28691	zkf-backends/src/midnight_client.rs
     792	30935	zkf-runtime/src/metal_dispatch_macos.rs
     787	29511	zkf-gadgets/src/nonnative.rs
     786	27225	vendor/halo2-proofs-patched/src/plonk/prover.rs
     777	28888	zkf-ir-spec/runtime-proof-coverage-manifest.json
